"","Year","Area","Street","Street.2"
"156",2011,"","Poplar Road",""
"157",2011,"","Poplar Road Solihull",""
"158",2011,"","Poplar Road Solihull",""
"159",2011,"","Preston Road",""
"160",2011,"","Priory Road Hall Green",""
"161",2011,"","Prospect Road",""
"162",2011,"","Queenswood Road",""
"163",2011,"","Rear Of Boots High Street",""
"164",2011,"","REDDINGS LANE TSYLEY",""
"165",2011,"","Richmond Primary Care Centre Richmond Road Stechford",""
"166",2011,"","Ring Road Stourbridge",""
"167",2011,"","Sainsburys Wawrick Road",""
"168",2011,"","Sainsburys Alcester Road South",""
"169",2011,"","Sandford Road Moseley",""
"170",2011,"","Sarehole Mill",""
"171",2011,"","Sedgemere Road",""
"172",2011,"","Shirley Road",""
"173",2011,"","SHirley Road",""
"174",2011,"","Snow Hill",""
"175",2011,"","Solihull Lane",""
"176",2011,"","St Mary S Road Moseley",""
"177",2011,"","St Marys Row",""
"178",2011,"","Station Road",""
"179",2011,"","Station Way Birmingham International Rail Station",""
"180",2011,"","Stechford Front Office",""
"181",2011,"","Stechford P S",""
"182",2011,"","Stechford Retail Park",""
"183",2011,"","Stonehenge Croft Druids Heath",""
"184",2011,"","Stoney Lane",""
"185",2011,"","Stoney Lane",""
"186",2011,"","Stoney Lane",""
"187",2011,"","STRATFORD HEATH SPARK HILL BIRMINGHAM",""
"188",2011,"","Stratford Road",""
"189",2011,"","Stratford Road",""
"190",2011,"","Stratford Road",""
"191",2011,"","Stratford Road Hall Green",""
"192",2011,"","Stratford Roads",""
"193",2011,"","Stuart Road Stechford",""
"194",2011,"","Talbort Street",""
"195",2011,"","Taunton Road",""
"196",2011,"","Tavistock Road",""
"197",2011,"","The Avenue",""
"198",2011,"","The Paer Tree Pub",""
"199",2011,"","Trafalger Road",""
"200",2011,"","Wake Green Road",""
"201",2011,"","Ward End Road",""
"202",2011,"","Warwick Road",""
"203",2011,"","Warwick Road",""
"204",2011,"","Warwick Road",""
"205",2011,"","Warwick Road",""
"206",2011,"","Warwick Road",""
"207",2011,"","Warwick Road Tysley",""
"208",2011,"","Wash Lane",""
"209",2011,"","Washford Heath Road",""
"210",2011,"","Washwood Heath Pub",""
"211",2011,"","WASHWOOD HEATH RD WASHWOOD HEATH BHAM",""
"212",2011,"","Washwood Heath Road",""
"213",2011,"","Washwood Heath Road",""
"214",2011,"","Washwood Heath Road",""
"215",2011,"","Washwood Heath Road",""
"216",2011,"","Watery Lane Middleway Birmingham",""
"217",2011,"","Wawrick Road",""
"218",2011,"","Welshfarm Road Quinton",""
"219",2011,"","Westley Road",""
"220",2011,"","Westley Road Acocks Green",""
"221",2011,"","White Hart Public House",""
"222",2011,"","White Hart Public House",""
"223",2011,"","Whiteheart Pub Gressell Lane",""
"224",2011,"","William Hill Bookmakers Washwood Heath Road",""
"225",2011,"","William Hill Bookmakers Washwood Heath Road",""
"226",2011,"","William Hill Washwood Heath Road",""
"227",2011,"","Windward Road",""
"228",2011,"","Windward Road",""
"229",2011,"","Wood End Road Erdington",""
"230",2011,"","Woodbridge Road Moseley",""
"231",2011,"","Wright Street",""
"232",2011,"","Yardley Green Road",""
"233",2011,"","Yardley Road Acocks Green",""
"234",2011,"","Yardley Wood Road",""
"235",2011,"","Yardley Wood Road",""
"236",2011,"","Yew Tree Car Park",""
"237",2011,"","Yew Tree Lane",""
"238",2011,"","Yew Tree Public House Car Park",""
"239",2011,"","Armada Pub Slade Road Erdington Birmingham",""
"240",2011,"","Armarda Pub Gravelly Hill",""
"241",2011,"","Armarda Pub Gravelly Hill",""
"242",2011,"","BADGERS BANK ROAD",""
"243",2011,"","Baldmoor Lake Road Erdington Birmingham",""
"244",2011,"","Bandywood Rd Kingstanding",""
"245",2011,"","Beckenham Road",""
"246",2011,"","Beeches Walk",""
"247",2011,"","BIRMINGHAM RD",""
"248",2011,"","BIRMINGHAM RD",""
"249",2011,"","Birmingham Rd SC",""
"250",2011,"","Birmingham Road",""
"251",2011,"","Birmingham Road",""
"252",2011,"","Birmingham Road Sutton",""
"253",2011,"","Birmingham Road Erdington",""
"254",2011,"","Birmingham Road Sutton Coldfield",""
"255",2011,"","Birmingham Road Sutton Coldfield",""
"256",2011,"","BOWLING GREEN CLOSE",""
"257",2011,"","Bracebridge Road Erdington",""
"258",2011,"","Brassington Avenue",""
"259",2011,"","Bromford Lane",""
"260",2011,"","Bromford Lane Erdington B Ham",""
"261",2011,"","Brookvale Park Road",""
"262",2011,"","Carhampton Road Falcon Lodge Sutton Colfield",""
"263",2011,"","Carshalton Road",""
"264",2011,"","Carshorlton Road",""
"265",2011,"","Chester Rd",""
"266",2011,"","CHESTER ROAD",""
"267",2011,"","Chester Road Halls Garden Centre",""
"268",2011,"","CHURCH RD AT CHESTER RD",""
"269",2011,"","College Road Kingstanding B Ham",""
"270",2011,"","College Road Kingstanding B Ham",""
"271",2011,"","Copshill Court Mount View Sutton Coldfield",""
"272",2011,"","Dovedale Road Erdington B Ham",""
"273",2011,"","Downside Road Erdington B Ham",""
"274",2011,"","Eachelhurt Road Erdington",""
"275",2011,"","ERDINGTON HALL ROAD",""
"276",2011,"","ERDINGTON HALL ROAD",""
"277",2011,"","Erdington High Street",""
"278",2011,"","Fentham Road Erdington B Ham",""
"279",2011,"","FINCHLEY ROAD",""
"280",2011,"","Finchley Road Kingstanding B Ham",""
"281",2011,"","GEORGE FREDERICK ROAD",""
"282",2011,"","Golden Pond Take Away Boldmere Road",""
"283",2011,"","Good Hope Hospital",""
"284",2011,"","Gracechurch Centre",""
"285",2011,"","Gracechurch Centre Outside Supercigs",""
"286",2011,"","GraceChurch Shopping Centre Sutton Coldfield",""
"287",2011,"","Grassed Area Pype Hayes Park",""
"288",2011,"","Gravelley Lane",""
"289",2011,"","Gravelley Lane",""
"290",2011,"","Gravelley Lane",""
"291",2011,"","Gravelly Lane Erdington Birmingham",""
"292",2011,"","Hairy Lemon Pub Sutton Coldfield",""
"293",2011,"","Hairy Lemon Pub Sutton Coldfield",""
"294",2011,"","Hermatige Road",""
"295",2011,"","Hermatige Road",""
"296",2011,"","HERMITAGE DRIVE",""
"297",2011,"","High Street",""
"298",2011,"","High Street Erdington",""
"299",2011,"","High Street Erdington",""
"300",2011,"","High Street Erdington",""
"301",2011,"","High Street S C",""
"302",2011,"","High Street S C",""
"303",2011,"","Hight St ErdINGTON",""
"304",2011,"","HUNTON HILL",""
"305",2011,"","KFC Retail Outlet Erdington High Street",""
"306",2011,"","Kingsbury Road Erdington B Ham",""
"307",2011,"","Kingstanding Circle",""
"308",2011,"","Ladywell Walk Birmingham",""
"309",2011,"","Landsdown Road",""
"310",2011,"","LICHFIELD ROAD MERE GREEN",""
"311",2011,"","LICHFIELD ROAD SUTTON COLDFIELD",""
"312",2011,"","Lindridge Road Sutton Coldfield",""
"313",2011,"","Little Aston Lane",""
"314",2011,"","LONGFORD ROAD",""
"315",2011,"","Longford Road Kingstanding B Ham",""
"316",2011,"","Lower Parade",""
"317",2011,"","LOWER PARADE",""
"318",2011,"","Lower Parade",""
"319",2011,"","Lower Parade",""
"320",2011,"","Lower Parade",""
"321",2011,"","Lower Parade",""
"322",2011,"","LOWER PARADE",""
"323",2011,"","Lower Parade",""
"324",2011,"","Lower Parade",""
"325",2011,"","LOWER PARADE",""
"326",2011,"","Lower Parade",""
"327",2011,"","LOWER PARADE",""
"328",2011,"","Lower Parade",""
"329",2011,"","LOWER PARADE",""
"330",2011,"","LOWER PARADE",""
"331",2011,"","Lower Parade",""
"332",2011,"","Lower Parade",""
